Player,profile_url,player_id
DI Allan,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/duncan-allan-472153,472153
M Shumba,Not found,Not found
Mominul Haque,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mominul-haque-373696,373696
KV Morea,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/kabua-morea-524255,524255
N Pokana,Not found,Not found
Waqar Zalmai,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/waqar-zalmai-1101791,1101791
SF Nhavotso,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/shelton-nhavotso-1155506,1155506
Mohammad Naim,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mohammad-naim-990081,990081
Parvez Rasool,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/parvez-rasool-378496,378496
Arafat Sunny,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/arafat-sunny-56268,56268
Z Bimenyimana,Not found,Not found
E Ul Haq,Not found,Not found
N Wijesekera,Not found,Not found
SJ Baard,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/stephan-baard-437927,437927
Anwar Rahman,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/anwar-rahman-568447,568447
MW Forde,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/matthew-forde-1209190,1209190
DJ Hooda,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/deepak-hooda-497121,497121
JD Newton,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/jason-newton-1323448,1323448
I Katzarski,Not found,Not found
Mazhar Khan,https://www.espncricinfo.comhttps://www.espncricinfo.com/cricketers/mazhar-khan-30952,30952
